,county,precinct,office,district,party,candidate,votes
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,378
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,REP,JIM BANKS,339
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,LIB,ANDREW HORNING,13
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,MISHAWAKA 0,ATTORNEY GENERAL,,DEM,DESTINY WELLS,392
0,St_Joseph,MISHAWAKA 0,ATTORNEY GENERAL,,REP,TODD ROKITA,338
1,St_Joseph,MISHAWAKA 0,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,364
1,St_Joseph,MISHAWAKA 0,COUNTY CORONER,,REP,PATRICIA JORDAN,363
2,St_Joseph,MISHAWAKA 0,COUNTY RECORDER,,DEM,SHARON BANICKI,386
2,St_Joseph,MISHAWAKA 0,COUNTY RECORDER,,REP,CANDACE BROWN,344
3,St_Joseph,MISHAWAKA 0,COUNTY SURVEYOR,,DEM,ED FISHER,369
3,St_Joseph,MISHAWAKA 0,COUNTY SURVEYOR,,REP,DEREK D DIETER,357
4,St_Joseph,MISHAWAKA 0,COUNTY TREASURER,,REP,MICHAEL ROSE,346
4,St_Joseph,MISHAWAKA 0,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,383
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,21
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,327
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,391
6,St_Joseph,MISHAWAKA 0,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,355
6,St_Joseph,MISHAWAKA 0,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,372
7,St_Joseph,MISHAWAKA 0,STATE REPRESENTATIVE,5,DEM,HEIDI BEIDINGER,389
7,St_Joseph,MISHAWAKA 0,STATE REPRESENTATIVE,5,REP,DALE DEVON,348
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,372
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,344
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,10
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,LIB,AMANDA MITCHELL,22
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,DEM,JOSEPH G. CARBONE,358
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,REP,ANTHONY (TONY) HAZEN,350
1,St_Joseph,MISHAWAKA 0,COUNTY COUNCIL DISTRICT I,,DEM,TAMI SPRINGER,386
1,St_Joseph,MISHAWAKA 0,COUNTY COUNCIL DISTRICT I,,REP,ANDY RUTTEN,340
2,St_Joseph,MISHAWAKA 0,MANIER - JUDICIAL RETENTION,,,YES,468
2,St_Joseph,MISHAWAKA 0,MANIER - JUDICIAL RETENTION,,,NO,117
3,St_Joseph,MISHAWAKA 0,"MISHAWAKA SCHOOL BOARD, AT LARGE",,NP,MELLISSA KAY JOHNSON,27
3,St_Joseph,MISHAWAKA 0,"MISHAWAKA SCHOOL BOARD, AT LARGE",,NP,ANGELA LAYMAN,42
4,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, HARRIS",,NP,GARY FOX,298
4,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, HARRIS",,NP,ART KLINGER,167
5,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,KATIE INABNIT BELL,291
5,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,DOUG CHAFFEE,116
5,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,JIM GARRETT,155
5,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,RYAN MCCULLOUGH,214
6,St_Joseph,MISHAWAKA 0,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,409
6,St_Joseph,MISHAWAKA 0,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,158
7,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE DEREK READ MOLTER,,,YES,412
7,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE DEREK READ MOLTER,,,NO,171
8,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE LORETTA H. RUSH,,,YES,448
8,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE LORETTA H. RUSH,,,NO,148
9,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE MARK S. MASSA,,,YES,416
9,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE MARK S. MASSA,,,NO,169
0,St_Joseph,MISHAWAKA 0,SANFORD - JUDICIAL RETENTION,,,YES,434
0,St_Joseph,MISHAWAKA 0,SANFORD - JUDICIAL RETENTION,,,NO,143
1,St_Joseph,MISHAWAKA 0,STEELE - JUDICIAL RETENTION,,,YES,466
1,St_Joseph,MISHAWAKA 0,STEELE - JUDICIAL RETENTION,,,NO,117
2,St_Joseph,MISHAWAKA 0,TELLOYAN - JUDICIAL RETENTION,,,YES,428
2,St_Joseph,MISHAWAKA 0,TELLOYAN - JUDICIAL RETENTION,,,NO,149
3,St_Joseph,MISHAWAKA 0,WOODS - JUDICIAL RETENTION,,,YES,460
3,St_Joseph,MISHAWAKA 0,WOODS - JUDICIAL RETENTION,,,NO,131
0,St_Joseph,MISHAWAKA 0,Ballots Cast,,,,739
1,St_Joseph,MISHAWAKA 0,Registered Voters,,,,1342
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,10
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,2
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,376
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,337
1,St_Joseph,MISHAWAKA 0,PUBLIC QUESTION #1,,,YES,343
1,St_Joseph,MISHAWAKA 0,PUBLIC QUESTION #1,,,NO,313
2,St_Joseph,MISHAWAKA 0,Straight Party,,DEM,DEMOCRATIC,212
2,St_Joseph,MISHAWAKA 0,Straight Party,,REP,REPUBLICAN,261
2,St_Joseph,MISHAWAKA 0,Straight Party,,LIB,LIBERTARIAN,2
2,St_Joseph,MISHAWAKA 0,Straight Party,,WTP,WE THE PEOPLE,4
2,St_Joseph,MISHAWAKA 0,Straight Party,,RED,INDIANA REDEMPTION PARTY,0
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,318
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,REP,JIM BANKS,393
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,LIB,ANDREW HORNING,13
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,MISHAWAKA 0,ATTORNEY GENERAL,,DEM,DESTINY WELLS,339
0,St_Joseph,MISHAWAKA 0,ATTORNEY GENERAL,,REP,TODD ROKITA,381
1,St_Joseph,MISHAWAKA 0,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,316
1,St_Joseph,MISHAWAKA 0,COUNTY CORONER,,REP,PATRICIA JORDAN,398
2,St_Joseph,MISHAWAKA 0,COUNTY RECORDER,,DEM,SHARON BANICKI,342
2,St_Joseph,MISHAWAKA 0,COUNTY RECORDER,,REP,CANDACE BROWN,373
3,St_Joseph,MISHAWAKA 0,COUNTY SURVEYOR,,DEM,ED FISHER,337
3,St_Joseph,MISHAWAKA 0,COUNTY SURVEYOR,,REP,DEREK D DIETER,379
4,St_Joseph,MISHAWAKA 0,COUNTY TREASURER,,REP,MICHAEL ROSE,376
4,St_Joseph,MISHAWAKA 0,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,331
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,20
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,370
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,338
6,St_Joseph,MISHAWAKA 0,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,308
6,St_Joseph,MISHAWAKA 0,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,407
7,St_Joseph,MISHAWAKA 0,STATE REPRESENTATIVE,5,DEM,HEIDI BEIDINGER,332
7,St_Joseph,MISHAWAKA 0,STATE REPRESENTATIVE,5,REP,DALE DEVON,390
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,314
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,390
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,15
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,LIB,AMANDA MITCHELL,30
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,DEM,JOSEPH G. CARBONE,291
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,REP,ANTHONY (TONY) HAZEN,396
1,St_Joseph,MISHAWAKA 0,COUNTY COUNCIL DISTRICT I,,DEM,TAMI SPRINGER,339
1,St_Joseph,MISHAWAKA 0,COUNTY COUNCIL DISTRICT I,,REP,ANDY RUTTEN,381
2,St_Joseph,MISHAWAKA 0,MANIER - JUDICIAL RETENTION,,,YES,421
2,St_Joseph,MISHAWAKA 0,MANIER - JUDICIAL RETENTION,,,NO,151
3,St_Joseph,MISHAWAKA 0,"MISHAWAKA SCHOOL BOARD, AT LARGE",,NP,MELLISSA KAY JOHNSON,110
3,St_Joseph,MISHAWAKA 0,"MISHAWAKA SCHOOL BOARD, AT LARGE",,NP,ANGELA LAYMAN,100
4,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, HARRIS",,NP,GARY FOX,213
4,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, HARRIS",,NP,ART KLINGER,141
5,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,KATIE INABNIT BELL,215
5,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,DOUG CHAFFEE,132
5,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,JIM GARRETT,112
5,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,RYAN MCCULLOUGH,172
6,St_Joseph,MISHAWAKA 0,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,382
6,St_Joseph,MISHAWAKA 0,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,178
7,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE DEREK READ MOLTER,,,YES,388
7,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE DEREK READ MOLTER,,,NO,172
8,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE LORETTA H. RUSH,,,YES,424
8,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE LORETTA H. RUSH,,,NO,148
9,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE MARK S. MASSA,,,YES,386
9,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE MARK S. MASSA,,,NO,181
0,St_Joseph,MISHAWAKA 0,SANFORD - JUDICIAL RETENTION,,,YES,389
0,St_Joseph,MISHAWAKA 0,SANFORD - JUDICIAL RETENTION,,,NO,172
1,St_Joseph,MISHAWAKA 0,STEELE - JUDICIAL RETENTION,,,YES,412
1,St_Joseph,MISHAWAKA 0,STEELE - JUDICIAL RETENTION,,,NO,147
2,St_Joseph,MISHAWAKA 0,TELLOYAN - JUDICIAL RETENTION,,,YES,387
2,St_Joseph,MISHAWAKA 0,TELLOYAN - JUDICIAL RETENTION,,,NO,163
3,St_Joseph,MISHAWAKA 0,WOODS - JUDICIAL RETENTION,,,YES,429
3,St_Joseph,MISHAWAKA 0,WOODS - JUDICIAL RETENTION,,,NO,145
0,St_Joseph,MISHAWAKA 0,Ballots Cast,,,,252
1,St_Joseph,MISHAWAKA 0,Registered Voters,,,,712
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,1
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,1
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,91
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,158
1,St_Joseph,MISHAWAKA 0,PUBLIC QUESTION #1,,,YES,103
1,St_Joseph,MISHAWAKA 0,PUBLIC QUESTION #1,,,NO,121
2,St_Joseph,MISHAWAKA 0,Straight Party,,DEM,DEMOCRATIC,118
2,St_Joseph,MISHAWAKA 0,Straight Party,,REP,REPUBLICAN,67
2,St_Joseph,MISHAWAKA 0,Straight Party,,LIB,LIBERTARIAN,0
2,St_Joseph,MISHAWAKA 0,Straight Party,,WTP,WE THE PEOPLE,2
2,St_Joseph,MISHAWAKA 0,Straight Party,,RED,INDIANA REDEMPTION PARTY,0
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,152
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,REP,JIM BANKS,87
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,LIB,ANDREW HORNING,5
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,MISHAWAKA 0,ATTORNEY GENERAL,,DEM,DESTINY WELLS,153
0,St_Joseph,MISHAWAKA 0,ATTORNEY GENERAL,,REP,TODD ROKITA,90
1,St_Joseph,MISHAWAKA 0,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,150
1,St_Joseph,MISHAWAKA 0,COUNTY CORONER,,REP,PATRICIA JORDAN,94
2,St_Joseph,MISHAWAKA 0,COUNTY RECORDER,,DEM,SHARON BANICKI,153
2,St_Joseph,MISHAWAKA 0,COUNTY RECORDER,,REP,CANDACE BROWN,93
3,St_Joseph,MISHAWAKA 0,COUNTY SURVEYOR,,DEM,ED FISHER,152
3,St_Joseph,MISHAWAKA 0,COUNTY SURVEYOR,,REP,DEREK D DIETER,92
4,St_Joseph,MISHAWAKA 0,COUNTY TREASURER,,REP,MICHAEL ROSE,89
4,St_Joseph,MISHAWAKA 0,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,155
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,8
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,83
5,St_Joseph,MISHAWAKA 0,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,156
6,St_Joseph,MISHAWAKA 0,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,151
6,St_Joseph,MISHAWAKA 0,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,95
7,St_Joseph,MISHAWAKA 0,STATE REPRESENTATIVE,5,DEM,HEIDI BEIDINGER,163
7,St_Joseph,MISHAWAKA 0,STATE REPRESENTATIVE,5,REP,DALE DEVON,84
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,152
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,82
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,6
8,St_Joseph,MISHAWAKA 0,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,LIB,AMANDA MITCHELL,9
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,DEM,JOSEPH G. CARBONE,148
0,St_Joseph,MISHAWAKA 0,COUNTY COMMISSIONER DISTRICT 3,3,REP,ANTHONY (TONY) HAZEN,86
1,St_Joseph,MISHAWAKA 0,COUNTY COUNCIL DISTRICT I,,DEM,TAMI SPRINGER,154
1,St_Joseph,MISHAWAKA 0,COUNTY COUNCIL DISTRICT I,,REP,ANDY RUTTEN,91
2,St_Joseph,MISHAWAKA 0,MANIER - JUDICIAL RETENTION,,,YES,143
2,St_Joseph,MISHAWAKA 0,MANIER - JUDICIAL RETENTION,,,NO,49
3,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, HARRIS",,NP,GARY FOX,112
3,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, HARRIS",,NP,ART KLINGER,61
4,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,KATIE INABNIT BELL,116
4,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,DOUG CHAFFEE,53
4,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,JIM GARRETT,40
4,St_Joseph,MISHAWAKA 0,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,RYAN MCCULLOUGH,62
5,St_Joseph,MISHAWAKA 0,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,129
5,St_Joseph,MISHAWAKA 0,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,64
6,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE DEREK READ MOLTER,,,YES,137
6,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE DEREK READ MOLTER,,,NO,61
7,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE LORETTA H. RUSH,,,YES,145
7,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE LORETTA H. RUSH,,,NO,54
8,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE MARK S. MASSA,,,YES,130
8,St_Joseph,MISHAWAKA 0,RETAIN JUSTICE MARK S. MASSA,,,NO,68
9,St_Joseph,MISHAWAKA 0,SANFORD - JUDICIAL RETENTION,,,YES,139
9,St_Joseph,MISHAWAKA 0,SANFORD - JUDICIAL RETENTION,,,NO,55
0,St_Joseph,MISHAWAKA 0,STEELE - JUDICIAL RETENTION,,,YES,148
0,St_Joseph,MISHAWAKA 0,STEELE - JUDICIAL RETENTION,,,NO,47
1,St_Joseph,MISHAWAKA 0,TELLOYAN - JUDICIAL RETENTION,,,YES,131
1,St_Joseph,MISHAWAKA 0,TELLOYAN - JUDICIAL RETENTION,,,NO,64
2,St_Joseph,MISHAWAKA 0,WOODS - JUDICIAL RETENTION,,,YES,150
2,St_Joseph,MISHAWAKA 0,WOODS - JUDICIAL RETENTION,,,NO,49
0,St_Joseph,MISHAWAKA 0,Ballots Cast,,,,511
1,St_Joseph,MISHAWAKA 0,Registered Voters,,,,928
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,2
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,2
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,247
0,St_Joseph,MISHAWAKA 0,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,254
1,St_Joseph,MISHAWAKA 0,PUBLIC QUESTION #1,,,YES,224
1,St_Joseph,MISHAWAKA 0,PUBLIC QUESTION #1,,,NO,221
2,St_Joseph,MISHAWAKA 0,Straight Party,,DEM,DEMOCRATIC,160
2,St_Joseph,MISHAWAKA 0,Straight Party,,REP,REPUBLICAN,163
2,St_Joseph,MISHAWAKA 0,Straight Party,,LIB,LIBERTARIAN,1
2,St_Joseph,MISHAWAKA 0,Straight Party,,WTP,WE THE PEOPLE,1
2,St_Joseph,MISHAWAKA 0,Straight Party,,RED,INDIANA REDEMPTION PARTY,0
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,244
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,REP,JIM BANKS,249
3,St_Joseph,MISHAWAKA 0,UNITED STATES SENATOR,,LIB,ANDREW HORNING,7
