,county,precinct,office,district,party,candidate,votes
1,St_Joseph,CENTRE TWP 2,Registered Voters,,,,925
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,7
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,5
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,437
0,St_Joseph,CENTRE TWP 2,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,183
1,St_Joseph,CENTRE TWP 2,PUBLIC QUESTION #1,,,YES,316
1,St_Joseph,CENTRE TWP 2,PUBLIC QUESTION #1,,,NO,257
2,St_Joseph,CENTRE TWP 2,Straight Party,,DEM,DEMOCRATIC,98
2,St_Joseph,CENTRE TWP 2,Straight Party,,REP,REPUBLICAN,289
2,St_Joseph,CENTRE TWP 2,Straight Party,,LIB,LIBERTARIAN,1
2,St_Joseph,CENTRE TWP 2,Straight Party,,WTP,WE THE PEOPLE,0
2,St_Joseph,CENTRE TWP 2,Straight Party,,RED,INDIANA REDEMPTION PARTY,1
3,St_Joseph,CENTRE TWP 2,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,CENTRE TWP 2,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,182
3,St_Joseph,CENTRE TWP 2,UNITED STATES SENATOR,,REP,JIM BANKS,430
3,St_Joseph,CENTRE TWP 2,UNITED STATES SENATOR,,LIB,ANDREW HORNING,15
3,St_Joseph,CENTRE TWP 2,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,CENTRE TWP 2,ATTORNEY GENERAL,,DEM,DESTINY WELLS,202
0,St_Joseph,CENTRE TWP 2,ATTORNEY GENERAL,,REP,TODD ROKITA,423
1,St_Joseph,CENTRE TWP 2,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,182
1,St_Joseph,CENTRE TWP 2,COUNTY CORONER,,REP,PATRICIA JORDAN,441
2,St_Joseph,CENTRE TWP 2,COUNTY RECORDER,,DEM,SHARON BANICKI,184
2,St_Joseph,CENTRE TWP 2,COUNTY RECORDER,,REP,CANDACE BROWN,438
3,St_Joseph,CENTRE TWP 2,COUNTY TREASURER,,REP,MICHAEL ROSE,428
3,St_Joseph,CENTRE TWP 2,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,193
4,St_Joseph,CENTRE TWP 2,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
4,St_Joseph,CENTRE TWP 2,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,23
4,St_Joseph,CENTRE TWP 2,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,418
4,St_Joseph,CENTRE TWP 2,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,189
5,St_Joseph,CENTRE TWP 2,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,172
5,St_Joseph,CENTRE TWP 2,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,453
6,St_Joseph,CENTRE TWP 2,STATE REPRESENTATIVE,7,DEM,NO CANDIDATE FILED,0
6,St_Joseph,CENTRE TWP 2,STATE REPRESENTATIVE,7,REP,JAKE TESHKA,489
7,St_Joseph,CENTRE TWP 2,STATE SENATOR,10,DEM,DAVID LEE NIEZGODSKI,242
7,St_Joseph,CENTRE TWP 2,STATE SENATOR,10,REP,NO CANDIDATE FILED,0
7,St_Joseph,CENTRE TWP 2,STATE SENATOR,10,LIB,TIM COTTON,143
8,St_Joseph,CENTRE TWP 2,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,180
8,St_Joseph,CENTRE TWP 2,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,437
8,St_Joseph,CENTRE TWP 2,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,10
8,St_Joseph,CENTRE TWP 2,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,CENTRE TWP 2,COUNTY COMMISSIONER DISTRICT 3,3,LIB,AMANDA MITCHELL,34
0,St_Joseph,CENTRE TWP 2,COUNTY COMMISSIONER DISTRICT 3,3,DEM,JOSEPH G. CARBONE,155
0,St_Joseph,CENTRE TWP 2,COUNTY COMMISSIONER DISTRICT 3,3,REP,ANTHONY (TONY) HAZEN,429
1,St_Joseph,CENTRE TWP 2,COUNTY COUNCIL DISTRICT F,,DEM,CHARLOTTE P. WOLFE,187
1,St_Joseph,CENTRE TWP 2,COUNTY COUNCIL DISTRICT F,,REP,RANDY FIGG,433
2,St_Joseph,CENTRE TWP 2,COUNTY SURVEYOR,,DEM,ED FISHER,187
2,St_Joseph,CENTRE TWP 2,COUNTY SURVEYOR,,REP,DEREK D DIETER,438
3,St_Joseph,CENTRE TWP 2,MANIER - JUDICIAL RETENTION,,,YES,354
3,St_Joseph,CENTRE TWP 2,MANIER - JUDICIAL RETENTION,,,NO,135
4,St_Joseph,CENTRE TWP 2,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,341
4,St_Joseph,CENTRE TWP 2,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,135
5,St_Joseph,CENTRE TWP 2,RETAIN JUSTICE DEREK READ MOLTER,,,YES,351
5,St_Joseph,CENTRE TWP 2,RETAIN JUSTICE DEREK READ MOLTER,,,NO,133
6,St_Joseph,CENTRE TWP 2,RETAIN JUSTICE LORETTA H. RUSH,,,YES,347
6,St_Joseph,CENTRE TWP 2,RETAIN JUSTICE LORETTA H. RUSH,,,NO,141
7,St_Joseph,CENTRE TWP 2,RETAIN JUSTICE MARK S. MASSA,,,YES,349
7,St_Joseph,CENTRE TWP 2,RETAIN JUSTICE MARK S. MASSA,,,NO,140
8,St_Joseph,CENTRE TWP 2,SANFORD - JUDICIAL RETENTION,,,YES,361
8,St_Joseph,CENTRE TWP 2,SANFORD - JUDICIAL RETENTION,,,NO,125
9,St_Joseph,CENTRE TWP 2,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,MARCUS ELLISON,98
9,St_Joseph,CENTRE TWP 2,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,KYLA HENDERSON,91
9,St_Joseph,CENTRE TWP 2,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GEORGE L. JONES,120
9,St_Joseph,CENTRE TWP 2,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GABREL (GABE) A. KEMPF,103
9,St_Joseph,CENTRE TWP 2,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,LYNN KING,97
9,St_Joseph,CENTRE TWP 2,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,JEANETTE MCCULLOUGH,183
0,St_Joseph,CENTRE TWP 2,STEELE - JUDICIAL RETENTION,,,YES,363
0,St_Joseph,CENTRE TWP 2,STEELE - JUDICIAL RETENTION,,,NO,122
1,St_Joseph,CENTRE TWP 2,TELLOYAN - JUDICIAL RETENTION,,,YES,349
1,St_Joseph,CENTRE TWP 2,TELLOYAN - JUDICIAL RETENTION,,,NO,132
2,St_Joseph,CENTRE TWP 2,WOODS - JUDICIAL RETENTION,,,YES,385
2,St_Joseph,CENTRE TWP 2,WOODS - JUDICIAL RETENTION,,,NO,119
0,St_Joseph,CENTRE TWP 3,Ballots Cast,,,,703
1,St_Joseph,CENTRE TWP 3,Registered Voters,,,,1023
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,1
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,4
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,3
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,443
0,St_Joseph,CENTRE TWP 3,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,242
1,St_Joseph,CENTRE TWP 3,PUBLIC QUESTION #1,,,YES,310
1,St_Joseph,CENTRE TWP 3,PUBLIC QUESTION #1,,,NO,321
2,St_Joseph,CENTRE TWP 3,Straight Party,,DEM,DEMOCRATIC,136
2,St_Joseph,CENTRE TWP 3,Straight Party,,REP,REPUBLICAN,307
2,St_Joseph,CENTRE TWP 3,Straight Party,,LIB,LIBERTARIAN,2
2,St_Joseph,CENTRE TWP 3,Straight Party,,WTP,WE THE PEOPLE,3
2,St_Joseph,CENTRE TWP 3,Straight Party,,RED,INDIANA REDEMPTION PARTY,0
3,St_Joseph,CENTRE TWP 3,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,CENTRE TWP 3,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,235
3,St_Joseph,CENTRE TWP 3,UNITED STATES SENATOR,,REP,JIM BANKS,440
3,St_Joseph,CENTRE TWP 3,UNITED STATES SENATOR,,LIB,ANDREW HORNING,16
3,St_Joseph,CENTRE TWP 3,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,CENTRE TWP 3,ATTORNEY GENERAL,,DEM,DESTINY WELLS,233
0,St_Joseph,CENTRE TWP 3,ATTORNEY GENERAL,,REP,TODD ROKITA,445
1,St_Joseph,CENTRE TWP 3,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,213
1,St_Joseph,CENTRE TWP 3,COUNTY CORONER,,REP,PATRICIA JORDAN,464
2,St_Joseph,CENTRE TWP 3,COUNTY RECORDER,,DEM,SHARON BANICKI,240
2,St_Joseph,CENTRE TWP 3,COUNTY RECORDER,,REP,CANDACE BROWN,429
3,St_Joseph,CENTRE TWP 3,COUNTY TREASURER,,REP,MICHAEL ROSE,428
3,St_Joseph,CENTRE TWP 3,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,242
4,St_Joseph,CENTRE TWP 3,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
4,St_Joseph,CENTRE TWP 3,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,20
4,St_Joseph,CENTRE TWP 3,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,434
4,St_Joseph,CENTRE TWP 3,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,239
5,St_Joseph,CENTRE TWP 3,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,226
5,St_Joseph,CENTRE TWP 3,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,449
6,St_Joseph,CENTRE TWP 3,STATE REPRESENTATIVE,7,DEM,NO CANDIDATE FILED,0
6,St_Joseph,CENTRE TWP 3,STATE REPRESENTATIVE,7,REP,JAKE TESHKA,500
7,St_Joseph,CENTRE TWP 3,STATE SENATOR,10,DEM,DAVID LEE NIEZGODSKI,288
7,St_Joseph,CENTRE TWP 3,STATE SENATOR,10,REP,NO CANDIDATE FILED,0
7,St_Joseph,CENTRE TWP 3,STATE SENATOR,10,LIB,TIM COTTON,121
8,St_Joseph,CENTRE TWP 3,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,223
8,St_Joseph,CENTRE TWP 3,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,442
8,St_Joseph,CENTRE TWP 3,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,13
8,St_Joseph,CENTRE TWP 3,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,CENTRE TWP 3,COUNTY COMMISSIONER DISTRICT 3,3,LIB,AMANDA MITCHELL,23
0,St_Joseph,CENTRE TWP 3,COUNTY COMMISSIONER DISTRICT 3,3,DEM,JOSEPH G. CARBONE,220
0,St_Joseph,CENTRE TWP 3,COUNTY COMMISSIONER DISTRICT 3,3,REP,ANTHONY (TONY) HAZEN,432
1,St_Joseph,CENTRE TWP 3,COUNTY COUNCIL DISTRICT F,,DEM,CHARLOTTE P. WOLFE,231
1,St_Joseph,CENTRE TWP 3,COUNTY COUNCIL DISTRICT F,,REP,RANDY FIGG,444
2,St_Joseph,CENTRE TWP 3,COUNTY SURVEYOR,,DEM,ED FISHER,240
2,St_Joseph,CENTRE TWP 3,COUNTY SURVEYOR,,REP,DEREK D DIETER,432
3,St_Joseph,CENTRE TWP 3,MANIER - JUDICIAL RETENTION,,,YES,387
3,St_Joseph,CENTRE TWP 3,MANIER - JUDICIAL RETENTION,,,NO,146
4,St_Joseph,CENTRE TWP 3,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,381
4,St_Joseph,CENTRE TWP 3,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,144
5,St_Joseph,CENTRE TWP 3,RETAIN JUSTICE DEREK READ MOLTER,,,YES,371
5,St_Joseph,CENTRE TWP 3,RETAIN JUSTICE DEREK READ MOLTER,,,NO,156
6,St_Joseph,CENTRE TWP 3,RETAIN JUSTICE LORETTA H. RUSH,,,YES,388
6,St_Joseph,CENTRE TWP 3,RETAIN JUSTICE LORETTA H. RUSH,,,NO,146
7,St_Joseph,CENTRE TWP 3,RETAIN JUSTICE MARK S. MASSA,,,YES,371
7,St_Joseph,CENTRE TWP 3,RETAIN JUSTICE MARK S. MASSA,,,NO,162
8,St_Joseph,CENTRE TWP 3,SANFORD - JUDICIAL RETENTION,,,YES,376
8,St_Joseph,CENTRE TWP 3,SANFORD - JUDICIAL RETENTION,,,NO,163
9,St_Joseph,CENTRE TWP 3,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,MARCUS ELLISON,127
9,St_Joseph,CENTRE TWP 3,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,KYLA HENDERSON,93
9,St_Joseph,CENTRE TWP 3,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GEORGE L. JONES,95
9,St_Joseph,CENTRE TWP 3,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,GABREL (GABE) A. KEMPF,112
9,St_Joseph,CENTRE TWP 3,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,LYNN KING,98
9,St_Joseph,CENTRE TWP 3,"SOUTH BEND SCHOOL BOARD, AT LARGE",,NP,JEANETTE MCCULLOUGH,229
0,St_Joseph,CENTRE TWP 3,STEELE - JUDICIAL RETENTION,,,YES,391
0,St_Joseph,CENTRE TWP 3,STEELE - JUDICIAL RETENTION,,,NO,140
1,St_Joseph,CENTRE TWP 3,TELLOYAN - JUDICIAL RETENTION,,,YES,400
1,St_Joseph,CENTRE TWP 3,TELLOYAN - JUDICIAL RETENTION,,,NO,141
2,St_Joseph,CENTRE TWP 3,WOODS - JUDICIAL RETENTION,,,YES,413
2,St_Joseph,CENTRE TWP 3,WOODS - JUDICIAL RETENTION,,,NO,141
0,St_Joseph,CENTRE TWP 4,Ballots Cast,,,,577
